GE_latitude	GE_longitude	GE_n	GE_City	GE_CityState	GE_State	GE_Count
40.2888985	-3.7932	FUENLABRADA	Fuenlabrada	"Fuenlabrada, Spain"	 Spain	1
41.4729996	2.08234	SANT CUGAT DEL VALLES	Sant Cugat Del Valles	"Sant Cugat Del Valles, Spain"	 Spain	1
13.7533503	100.5048294	BANGKOK	Bangkok	"Bangkok, Thailand"	 Thailand	1
13.5371103	99.8143997	Ratburi	Ratburi	"Ratburi, Thailand"	 Thailand	1
13.5959339	100.7088013	Samutprakarn	Samutprakarn	"Samutprakarn, Thailand"	 Thailand	3
39.9429016	32.8605003	ANKARA	Ankara	"Ankara, Turkey"	 Turkey	2
39.7208214	43.0506897	AGRI	Agri	"Agri, Turkey"	 Turkey	1
51.4302406	-0.1657	TOOTING	Tooting	"Tooting, United Kingdom"	 United Kingdom	1
21.0288906	105.8546371	Hanoi	Hanoi	"Hanoi,"		3
10.7782297	106.70327	Ho Chi Min City	Ho Chi Min City	"Ho Chi Min City,"		2
